sample-id	biol_stat	geo_loc_name_country	geo_loc_name_country_continent	Host_Age	Host	library_name	samplename	host_sex	pathology
SRR23559453	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-319	AK-Deer-Sample:15-319	female	BR & LN POS
SRR23559454	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-311	AK-Deer-Sample:15-311	male	LN POS
SRR23559455	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-285	AK-Deer-Sample:15-285	female	LN POS
SRR23559456	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-53	AK-Deer-Sample:14-53	female	BR & LN POS
SRR23559457	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-83	AK-Deer-Sample:14-83	female	Neg
SRR23559458	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-52	AK-Deer-Sample:14-52	female	BR & LN POS
SRR23559459	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-51	AK-Deer-Sample:14-51	female	LN POS
SRR23559460	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-33	AK-Deer-Sample:14-33	female	LN POS
SRR23559461	CWD Pos.	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:18-513	AK-Deer-Sample:18-513	female	BR & LN POS
SRR23559462	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-290	AK-Deer-Sample:14-290	male	BR &LN POS
SRR23559463	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-269	AK-Deer-Sample:14-269	male	LN POS
SRR23559464	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-26	AK-Deer-Sample:14-26	female	BR & LN POS
